,Sales_in_thousands,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes_B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Sales_in_thousands,1.0,-0.3674815558309043,-0.4364896786389208,-0.034963468272001155,-0.29635357143304025,0.22106144128594263,0.07345462211312971,0.18705671521293982,-0.05624840736273878,0.01893556755174716,0.07099441071497443,-0.32647512351029184,-0.10471807567833717,-0.09835552541698557,0.05336284875068708,-0.09889401686947505,0.087572996457697,-0.08609334375955684,0.1670240263678233,0.45443009155854225,0.19079898906777856,-0.0012046886170166574,-0.04130455243690636,-0.05648422086536476,0.1565818512032475,-0.12990411010917577,-0.05649940080763319,-0.18788096794864714,-0.029718506697825834,-0.10087055455528834,0.054337699043978144,-0.07479423680017551,-0.11208817564651635,0.0715204678677547,-0.13512845586999203,-0.09271094651517864,-0.051628653896781916,-0.015887838518237704,0.14210751395114515,-0.051707915992120775,-0.15366263295908938,-0.23163416633551917,0.8651266833420309
four_year_resale_value,-0.3674815558309043,1.0,0.8073021581140972,0.4834129296491529,0.6942339728231828,0.09524248643532918,0.22876299147094095,0.12333464377084861,0.42927869292060344,0.4107199560426731,-0.42080700219950495,0.7328333312808499,0.20540840058953322,0.20202356720165,-0.04296102613971531,0.15066098826189828,-0.1305800442436446,-0.048614697366557984,-0.0916323601868529,-0.1425749499269764,-0.030959856616745274,-0.19663770170271208,0.03738525491956266,-4.1425475750140176e-17,-0.02821080073797154,0.21454483952483508,0.06404845090952428,0.2442886604255828,-0.08283324812999088,-0.08003119987929277,-0.07264247258463373,-0.0018386631764278287,-0.12731855869475434,-0.07276942128654353,0.34742102516176315,-5.87731479630898e-17,-0.10862682807277602,-5.877314796308979e-17,-0.005622004322142911,-0.059417138680255534,-9.524187764940471e-17,0.027405704447486183,-0.4382842188561287
Price_in_thousands,-0.4364896786389208,0.8073021581140972,1.0,0.6429954809707489,0.870783282003069,0.20463841506197172,0.3831592183155204,0.20833077552509938,0.5956958889739824,0.5119736833992653,-0.5477032097785156,0.9164614418475796,0.129429958832699,0.08234564079980126,0.005472143455345417,0.2213182910770759,-0.13841901085875102,-0.04836430954825667,-0.08987110375199348,-0.12930901918364537,-0.09774455707994714,-0.17491479707183225,0.021631438697828298,0.11564997391229817,-0.06643547813556364,0.2853169176724497,0.18796528133824816,0.38462090541870336,-0.09915409395621418,-0.08045917185547279,-0.07678223724206623,-0.013588339079651146,-0.05345782842613172,-0.060521215604758906,0.27828277457603157,0.03214043797734055,-0.1936694440014608,-0.0500345172960283,-0.0958538922987374,-0.15269303177004515,0.07963085084177447,0.013204305659460657,-0.5492648968115081
Engine_size,-0.034963468272001155,0.4834129296491529,0.6429954809707489,1.0,0.8163590177734027,0.5349353985150004,0.7117960208117632,0.5903125061178771,0.8042245292468209,0.7186036025618334,-0.7629466601480379,0.7995920928314187,-0.015607897868352648,-0.049101043478259554,0.096935214992834,0.2640166497724785,-0.0025672765401021512,-0.04927072420766831,0.12381743277686574,0.08051125081813928,-0.09737973573857323,-0.15436521539510886,-0.003463867764528991,-0.003463867764528991,0.06573259861284893,0.11779617105146474,0.2619067371851586,0.096411733496767,0.02212682225719191,-0.053779705007719614,-0.028389031399308356,0.08362854648208179,-0.09429697821364813,0.08021178402514348,0.01788524774155384,-0.10421390214743707,-0.1906433190962641,-0.06332588233426856,-0.10647762515532087,-0.22046331218542933,-0.1521280630466628,-0.28192281696853244,-0.11170596661722319
Horsepower,-0.29635357143304025,0.6942339728231828,0.870783282003069,0.8163590177734027,1.0,0.35237760799840706,0.5520343847842715,0.43613067721387305,0.656471956942369,0.5704671897461416,-0.6186866367811347,0.9924133073738356,0.09309801323668924,0.0012315675503439358,0.06563948866400864,0.24494534455991132,-0.08093023204509564,0.03503219028818466,0.011700107199512208,-0.07701419037477746,-0.08425907941419701,-0.15423472514962494,0.06404544677105355,0.08380720653548059,-0.04381832408430616,0.23073339983959898,0.20793107034462072,0.22171151955836438,-0.07961218143879344,-0.08090606785704316,-0.06508580566192858,0.01942085974150667,-0.055622849560431814,0.000497348687946148,0.2317810129747294,-0.01589198287230329,-0.22475636495963267,-0.04285097948038628,-0.11331433008947113,-0.2423543764994143,-0.010225974242404848,-0.016864566494103388,-0.3880867411100573
Wheelbase,0.22106144128594263,0.09524248643532918,0.20463841506197172,0.5349353985150004,0.35237760799840706,1.0,0.69125496802112,0.8444648163478985,0.6840884452469487,0.6742293395815103,-0.4998824335041315,0.32495451014054033,0.016398965303088816,0.027813678159727056,0.08667128394163147,0.1254895571400055,-0.11931760982757524,0.05783243759644672,0.22456210129503487,0.16946157871233147,0.007174858885525308,-0.12796357964851185,0.011718084868685091,0.0833598780734402,-0.14206410729494715,0.04403864349418108,0.1600900565572404,-0.032319938927163526,0.07760243376194056,-0.13006017290030297,-0.004014238115156302,0.09630225976826369,0.06100198410665757,0.053628297856398076,-0.27836920787715635,-0.045672136694656806,-0.08496402117106108,-0.09567398354076279,-0.09480008439200481,-0.21248461069512367,-0.08686013855008089,-0.3724333327387416,0.24692734489165857
Width,0.07345462211312971,0.22876299147094095,0.3831592183155204,0.7117960208117632,0.5520343847842715,0.69125496802112,1.0,0.7102115172786464,0.7224433035901584,0.6394746755657649,-0.5954289016232761,0.5264404304760043,0.06578851176627334,-0.07664022504730793,0.10607086479483635,0.17503323245623076,-0.0627114518882002,0.055786144992848466,0.28483169035040967,0.13568610536488235,-0.03648729014948624,-0.12547293481196445,-0.022176378091649584,0.010504600148675996,-0.0685014400865318,0.051338252547335754,0.24755470922360528,-0.07469453186683749,0.07846034823272051,-0.13361681502319359,-0.07063245777320337,0.005811877646868185,0.16382055784980296,0.0426204360770335,-0.059006190965626495,-0.0712060541088478,-0.19618528471680213,-0.10763705853663047,-0.11224151579990004,-0.18307414587634813,-0.09202139607541332,-0.24394066392153868,0.03538547843222715
Length,0.18705671521293982,0.12333464377084861,0.20833077552509938,0.5903125061178771,0.43613067721387305,0.8444648163478985,0.7102115172786464,1.0,0.6391383110913635,0.5846993757918275,-0.42224043479655343,0.39379989365759965,0.021569198894624456,-0.07688706027760074,0.1463259677621359,0.1853672646515053,-0.03910120775800464,0.14000976032987092,0.16872445929761568,0.16291943377345489,-0.043019206904663876,-0.12541691852206624,0.038208665911080034,0.023788702686335043,-0.2130499718987632,0.03454472604974491,0.23244714407201453,-0.13646177178870594,0.10535062671631477,-0.08171652567015057,-0.019418706937630592,0.09612591430552944,-0.1121255541940237,0.0943806984440296,-0.14671419444229916,-0.01398604414019461,-0.060168608225329594,-0.05831297911392285,-0.10150655344610995,-0.29804355384181913,-0.057951714609752965,-0.133487010512032,0.20056847437112835
Curb_weight,-0.05624840736273878,0.42927869292060344,0.5956958889739824,0.8042245292468209,0.656471956942369,0.6840884452469487,0.7224433035901584,0.6391383110913635,1.0,0.8808525508395549,-0.8355503147131057,0.6536867921382195,0.027370996896423288,-0.02025220202891247,0.05411840097662838,0.19110511490721585,-0.16183347595124947,-0.021868892606638123,0.11666412262297615,0.041119403437921746,-0.012890123301716768,-0.16863769949610832,-0.0036848203936093527,0.037493392525611395,0.0008014470881609099,0.18412248351793228,0.22705048635457017,0.12582052932078036,0.033321430058900446,-0.045242212886247586,0.01484512707753467,0.07104596472353472,-0.10794894738388033,0.011075050058138303,-0.09506646069954566,-0.0444922704367059,-0.22483173076176155,-0.018885076254345667,-0.07214463169572298,-0.16334544550893526,-0.028258325055428846,-0.5159794442298884,-0.053979711205500096
Fuel_capacity,0.01893556755174716,0.4107199560426731,0.5119736833992653,0.7186036025618334,0.5704671897461416,0.6742293395815103,0.6394746755657649,0.5846993757918275,0.8808525508395549,1.0,-0.8296731669888904,0.5713424430658373,0.07144954601167035,-0.022675368794836812,-0.0017740386144910192,0.10955288382465862,-0.1669981177855263,-0.07080101861068672,0.20084453373913821,0.09155422797841133,-0.03761984107750273,-0.1331698340024759,0.016728149493321732,0.014380603044691811,0.08372670881251901,0.15890798420653895,0.14835232966698628,0.08205161183668495,0.002683512862878994,0.03156210077974204,0.026132935113005466,0.02411414961773807,-0.12622265748114048,0.007554112125346962,-0.03222427319549691,-0.0029116274635496127,-0.28117940026518107,-0.04620974292517056,-0.002806058135399175,-0.1804510194059171,0.002683512862879002,-0.5894491268691983,-0.029684808923707035
