COUNTRY,REG_NAME,PRODUCT,BRANDCODE,PRODUCTCODE,ACCESS_DATE,DATE_VAL,User_hist,User_login,REG_DATE,LAST_LOGIN,BIRTH_YEAR,,DURATION,BOUNCE,PURCHASE,USER_AGE,USER_GENDER,GENDER,USER_ID,USER_HIST,LASTLOGIN
IN,KL,AC,BLUESTAR,BLUESTARAC44,17-01-2017,42752,42678,42739,04-11-2016,04-01-2017,1982,03-07-1982,103,0,0,34,1,M,MXUSEO15,74,13
IN,KL,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,06-01-2017,42741,42617,42642,04-09-2016,29-09-2016,1994,05-08-1994,319,0,1,22,1,M,DYLKDA32,124,99
IN,KL,AC,SAMSUNG,SAMSUNGAC14,17-01-2017,42752,42699,42739,25-11-2016,04-01-2017,1989,08-06-1989,290,0,0,27,0,F,SIEAFH70,53,13
IN,KA,Fridge,BLUESTAR,BLUESTARFridge45,07-01-2017,42742,42616,42644,03-09-2016,01-10-2016,1982,08-10-1982,357,0,1,34,0,F,VZAIMS45,126,98
IN,TN,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,16-01-2017,42751,42728,42732,24-12-2016,28-12-2016,1984,14-07-1984,379,0,1,32,1,M,IBYKPU50,23,19
IN,TL,Fridge,HITACHI,HITACHIFridge25,11-01-2017,42746,42736,42737,01-01-2017,02-01-2017,1989,10-10-1989,81,0,0,27,0,F,SMNWXC47,10,9
IN,KA,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,05-01-2017,42740,42552,42672,01-07-2016,29-10-2016,1989,04-03-1989,356,0,1,27,1,M,LGQURZ37,188,68
IN,TL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,13-01-2017,42748,42740,42741,05-01-2017,06-01-2017,1984,13-06-1984,163,0,0,32,1,M,VUSBOU36,8,7
IN,WB,Fridge,HITACHI,HITACHIFridge25,13-01-2017,42748,42592,42662,10-08-2016,19-10-2016,1993,08-11-1993,226,0,1,23,0,F,DNXVIV90,156,86
IN,KL,AC,SAMSUNG,SAMSUNGAC14,09-01-2017,42744,42655,42656,12-10-2016,13-10-2016,1986,25-05-1986,564,0,1,30,0,F,GPWLXU83,89,88
IN,KL,Fridge,LG,LGFridge35,04-01-2017,42739,42648,42675,05-10-2016,01-11-2016,1990,19-09-1990,119,0,0,26,0,F,GEWNYS40,91,64
IN,WB,LCD,HITACHI,HITACHILCD22,14-01-2017,42749,42718,42737,14-12-2016,02-01-2017,1985,01-06-1985,380,0,0,31,1,M,AINYDJ20,31,12
IN,KA,AC,LG,LGAC34,16-01-2017,42751,42733,42733,29-12-2016,29-12-2016,1991,19-07-1991,181,0,0,25,0,F,YFSMJR71,18,18
IN,KL,Fridge,LG,LGFridge35,19-01-2017,42754,42642,42676,29-09-2016,02-11-2016,1994,02-07-1994,256,0,1,22,0,F,YDMV@M43,112,78
IN,MH,Fridge,BLUESTAR,BLUESTARFridge45,16-01-2017,42751,42575,42608,24-07-2016,26-08-2016,1998,24-07-1998,488,0,1,18,0,F,ERLBRL37,176,143
IN,KA,Fridge,SAMSUNG,SAMSUNGFridge15,12-01-2017,42747,42728,42733,24-12-2016,29-12-2016,1984,09-06-1984,185,0,0,32,0,F,BJY@BY45,19,14
