DATE,FAILURES
2018-07-06,978982
2018-07-07,968497
2018-07-08,946722
2018-07-09,965899
2018-07-10,975015
2018-07-11,975868
2018-07-12,974891
2018-07-13,973638
2018-07-14,957510
2018-07-15,938254
2018-07-16,960861
2018-07-17,975564
2018-07-18,966938
2018-07-19,974508
2018-07-20,977209
2018-07-21,959278
2018-07-22,945172
2018-07-23,1001703
2018-07-24,991059
2018-07-25,991848
2018-07-26,991211
2018-07-27,1001391
2018-07-28,967381
2018-07-29,947265
2018-07-30,971469
2018-07-31,973940
2018-08-01,978256
2018-08-02,975227
2018-08-03,970960
2018-08-04,958250
2018-08-05,946177
