"id","name","stars","created_at","language","description"
196334,"upb","unknown","2009-05-09T02:38:42Z","C","a small protobuf implementation in C"
1936771,"truth","unknown","2011-06-22T18:55:12Z","Java","Fluent assertions for Java"
3248507,"ruby-openid-apps-discovery","unknown","2012-01-23T17:09:03Z","Ruby","unknown"
3248529,"signet","unknown","2012-01-23T17:13:36Z","Ruby","Signet is an OAuth 1.0 / OAuth 2.0 implementation."
3248531,"autoparse","unknown","2012-01-23T17:13:56Z","Ruby","A dynamically generated parsing system using JSON Schema."
3276484,"gitkit-ruby","unknown","2012-01-26T19:08:13Z","unknown","unknown"
3277842,"google-api-ruby-client","unknown","2012-01-26T21:54:39Z","Ruby","unknown"
3975462,"anvil-build","unknown","2012-04-09T20:09:24Z","Python","A parallel build system and content pipeline"
5072378,"googletv-android-samples","unknown","2012-07-16T19:34:08Z","Java","Source for many GoogleTV Example applications."
5511393,"ChannelPlate","unknown","2012-08-22T15:31:48Z","JavaScript","JavaScript library for postMessage over MessageChannel"
5753459,"GL-Shader-Validator","unknown","2012-09-10T18:00:49Z","Python","unknown"
5753483,"qpp","unknown","2012-09-10T18:02:58Z","JavaScript","Querypoint Debugging Prototype"
5815969,"CSP-Validator","unknown","2012-09-14T23:38:23Z","Python","CSP-Validator"
5844236,"embed-dart-vm","unknown","2012-09-17T17:02:46Z","C++","unknown"
6093488,"module-server","unknown","2012-10-05T16:52:55Z","JavaScript","module-server"
6461354,"cxx-std-draft","unknown","2012-10-30T17:24:01Z","TeX","C++ standards drafts"
6461358,"filesystem-proposal","unknown","2012-10-30T17:24:17Z","C++","Boost Filesystem Library with modifications for the C++ standards committee proposal"
6461369,"libcxx","unknown","2012-10-30T17:25:04Z","C++","libc++; cloned from http://llvm.org/git/libcxx.git"
6601918,"tracing-framework","unknown","2012-11-08T19:32:53Z","JavaScript","Web Tracing Framework libraries and extensions."
6694773,"namebench","unknown","2012-11-14T20:56:13Z","CSS","namebench"
7411412,"devtoolsExtended","unknown","2013-01-02T18:40:19Z","JavaScript","devtoolsExtended: Extended Chrome Devtools in a Chrome Extension"
7411424,"sirius","unknown","2013-01-02T18:40:54Z","unknown","sirius"
7411426,"testRunner","unknown","2013-01-02T18:41:06Z","JavaScript","testRunner"
7411430,"crx2app","unknown","2013-01-02T18:41:23Z","JavaScript","unknown"
7697149,"episodes.dart","unknown","2013-01-19T00:31:37Z","Dart","A framework for timing performance of web apps."
7776515,"cpp-netlib","unknown","2013-01-23T14:45:32Z","C++","The C++ Network Library Project -- header-only, cross-platform, standards compliant networking library."
7968417,"dagger","unknown","2013-02-01T23:14:14Z","Java","A fast dependency injector for Android and Java."
8165161,"ios-webkit-debug-proxy","unknown","2013-02-12T19:08:19Z","C","A DevTools proxy (Chrome Remote Debugging Protocol) for iOS devices (Safari Remote Web Inspector)."
8459994,"google.github.io","unknown","2013-02-27T16:21:19Z","unknown","unknown"
8566972,"kratu","unknown","2013-03-04T22:52:33Z","JavaScript","unknown"
8608480,"google-api-nodejs-client","unknown","2013-03-06T17:02:23Z","TypeScript","Google's officially supported Node.js client library for accessing Google APIs. Support for authorization and authentication with OAuth 2.0, API Keys and JWT (Service Tokens) is included. API Reference Docs: http://google.github.io/google-api-nodejs-client/"
8858648,"build-debian-cloud","unknown","2013-03-18T16:32:00Z","Shell","Script to create Debian Squeeze & Wheezy Amazon Machine Images (AMIs) and Google Compute Engine images"
9060347,"traceur-compiler","unknown","2013-03-27T18:05:40Z","JavaScript","Traceur is a JavaScript.next-to-JavaScript-of-today compiler"
9065917,"firmata.py","unknown","2013-03-27T23:20:35Z","Python","unknown"
9304637,"ggrc-core","unknown","2013-04-08T19:16:28Z","Python","GGRC Core"
