"","lon","lat","place"
"1",74.6399163,26.4498954,"AJMER"
"2",92.9375739,26.2006043,"ASSAM"
"3",77.412615,23.2599333,"BHOPAL"
"4",85.3131194,25.0960742,"BIHAR"
"5",82.1391412,22.0796251,"BILASPUR"
"6",72.8776559,19.0759837,"BOMBAY"
"7",75.8069082,12.3374942,"COORG"
"8",NA,NA,"HIMACHAL PRADESH"
"9",78.486671,17.385044,"HYDERABAD"
"10",69.8597406,23.7337326,"KUTCH"
"11",78.6568942,22.9734229,"MADHYA BHARAT"
"12",78.6568942,22.9734229,"MADHYA PRADESH"
"13",80.2707184,13.0826802,"MADRAS"
"14",93.9062688,24.6637173,"MANIPUR"
"15",76.6393805,12.2958104,"MYSORE"
"16",77.1024902,28.7040592,"NCT OF DELHI"
"17",85.0985236,20.9516658,"ORISSA"
"18",76.8214558,30.65064,"PATIALA AND EAST PUNJAB STATES UNION"
"19",75.3412179,31.1471305,"PUNJAB"
"20",74.2179326,27.0238036,"RAJASTHAN"
"21",70.8119953,21.8466651,"SAURASHTRA"
"22",76.3195853,10.0683988,"TRAVANCORE COCHIN"
"23",91.9881527,23.9408482,"TRIPURA"
"24",80.9461592,26.8467088,"UTTAR PRADESH"
"25",82,24.6166667,"VINDHYA PRADESH"
"26",87.8549755,22.9867569,"WEST BENGAL"
"27",79.7399875,15.9128998,"ANDHRA PRADESH"
"28",76.2710833,10.8505159,"KERALA"
"29",71.1923805,22.258652,"GUJARAT"
"30",75.7138884,19.7514798,"MAHARASHTRA"
"31",10.89779,48.3705449,"A&N ISLANDS"
"32",NA,NA,"CHANDIGARH"
"33",-89.2199264,37.7093735,"D&N HAVELI"
"34",NA,NA,"GOA, DAMAN & DIU"
"35",NA,NA,"HARYANA"
"36",74.8570259,32.7266016,"JAMMU & KASHMIR"
"37",72.7846336,10.3280265,"LAKSHADWEEP"
"38",94.5624426,26.1584354,"NAGALAND"
"39",78.925532,13.801001,"PUDUCHERRY"
"40",78.6568942,11.1271225,"TAMIL NADU"
"41",94.7277528,28.2179994,"ARUNACHAL PRADESH"
"42",75.7138884,15.3172775,"KARNATAKA"
"43",91.366216,25.4670308,"MEGHALAYA"
"44",NA,NA,"MIZORAM"
"45",88.5122178,27.5329718,"SIKKIM"
"46",72.8327991,20.3973736,"DAMAN & DIU"
"47",74.123996,15.2993265,"GOA"
"48",NA,NA,"CHHATTISGARH"
"49",85.2799354,23.6101808,"JHARKHAND"
"50",79.0192997,30.066753,"UTTARAKHAND"
