Date,Amazon,Google,Tesla,Infosys,Facebook,Apple
03-01-17,753.67,808.01,216.99,14.74,116.86,116.15
04-01-17,757.18,807.77,226.99,15.13,118.69,116.02
05-01-17,780.45,813.02,226.75,15.02,120.67,116.61
06-01-17,795.99,825.21,229.01,14.82,123.41,117.91
09-01-17,796.92,827.18,231.28,14.96,124.9,118.99
10-01-17,795.9,826.01,229.87,14.78,124.35,119.11
11-01-17,799.02,829.86,229.73,15.19,126.09,119.75
12-01-17,813.64,829.53,229.59,15.25,126.62,119.25
13-01-17,817.14,830.94,237.75,14.5,128.34,119.04
17-01-17,809.72,827.46,235.58,14.49,127.87,120
18-01-17,807.48,829.02,238.36,14.44,127.92,119.99
19-01-17,809.04,824.37,243.76,14.39,127.55,119.78
20-01-17,808.33,828.17,244.73,14.36,127.04,120
23-01-17,817.88,844.43,248.92,14.09,128.93,120.08
24-01-17,822.44,849.53,254.61,14.12,129.37,119.97
25-01-17,836.52,858.45,254.47,14,131.48,121.88
26-01-17,839.15,856.98,252.51,13.79,132.78,121.94
27-01-17,835.77,845.03,252.95,13.94,132.18,121.95
30-01-17,830.38,823.83,250.63,13.81,130.98,121.63
31-01-17,823.48,820.19,251.93,13.77,130.32,121.35
01-02-17,832.35,815.24,249.24,13.59,133.23,128.75
02-02-17,839.95,818.26,251.55,13.75,130.84,128.53
03-02-17,810.2,820.13,251.33,13.88,130.98,129.08
06-02-17,807.64,821.62,257.77,13.85,132.06,130.29
07-02-17,812.5,829.23,257.48,14.07,131.84,131.53
08-02-17,819.71,829.88,262.08,14.11,134.2,132.04
09-02-17,821.36,830.06,269.2,14.57,134.14,132.42
10-02-17,827.46,834.85,269.23,14.5,134.19,132.12
13-02-17,836.53,838.96,280.6,14.65,134.05,133.29
14-02-17,836.39,840.03,280.98,14.91,133.85,135.02
15-02-17,842.7,837.32,279.76,14.86,133.44,135.51
16-02-17,844.14,842.17,268.95,14.99,133.84,135.345
17-02-17,845.07,846.55,272.23,14.88,133.53,135.72
21-02-17,856.44,849.27,277.39,15.29,133.72,136.7
22-02-17,855.61,851.36,273.51,15.04,136.12,137.11
23-02-17,852.19,851,255.99,15.19,135.36,136.53
24-02-17,845.24,847.81,257,15.21,135.44,136.66
27-02-17,848.64,849.67,246.23,15.21,136.41,136.93
28-02-17,845.04,844.93,249.99,15.14,135.54,136.99
01-03-17,853.08,856.75,250.02,15.36,137.42,139.79
02-03-17,848.91,849.85,250.48,15.28,136.76,138.96
03-03-17,849.88,849.08,251.57,15.38,137.17,139.78
06-03-17,846.61,847.27,251.21,15.16,137.42,139.34
07-03-17,846.02,851.15,248.59,15.03,137.3,139.52
08-03-17,850.5,853.64,246.87,14.97,137.72,139
09-03-17,853,857.84,244.9,15.22,138.24,138.68
10-03-17,852.46,861.405,243.69,15.5,138.79,139.14
